"aabaadi","اٰبادي"
"zimaam","زمام"
"zamaan","زمان"
"zamana","زمانه"
"zumra","زمرة"
"zamarrud","زمرد"
"zamzam","زمزم"
"zomolaa","زملاء"
"zameen","زمين"
"zindagi","زندگي"
"zinda","زنده"
"zang","زنگ"
"zohod","زهد"
"zeher","زهر"
"zohrah","زهرة"
"zehreelu","زهريلو"
"zahe naseeb","زهے نصيب"
"zawaaj","زواج"
"zawaal","زوال"
"zowj","زوج"
"zowjat","زوجة"
"zour","زور"
"ziyaada","زيادة"
"ziyaada ma ziyaada","زيادة ما زيادة"
"ziyaadti","زيادتي"
"ziyaarat","زيارة"
"zaibaaish","زيبائش"
"zaitoon","زيتون"
"zair e ta'meer","زير تعمير"
"zere tan kerwu","زير تن كروؤ"
"zair e dast","زير دست"
"zair kerwu","زير كروؤ"
"zair e nazar","زير نظر"
"zeen","زين"
"zeenat","زينة"
"zewar","زيور"
"saabe ul ashhaad","سابع الاشهاد"
"saabiq","سابق"
"saath","ساتهـ"
"saathe","ساتهے"
"saathi","ساتهي"
"saahat","ساحة"
"saahil","ساحل"
"saadgi","سادگي"
"saadah","ساده"
"saari","ساري"
"saazish","سازش"
"saazwaar","سازوار"
"saasu","ساسو"
"saa'at","ساعة"
"saaq","ساق"
"saaqi","ساقي"
"saaqi","ساقي كوثر"
"saaken ul jaash","ساكن الجاش"
"saal","سال"
"saalgira","سالگره"
"saamaan","سامان"
"saamne","سامنے"
"saamno kerwu","سامنو  كروؤ"
"saami","سامي"
"saanp","سانپ"
"saanj","سانج"
"saandhaao","ساندهاؤ"
"saas","سانس"
"saankri","سانكري"
"saankli","سانكلي"
"saayo","سايو"
"saaeg","سائغ"
"saail","سائل"
"sab o shitam","سب و شتم"
"sabaaqat","سباقة"
"sibaal","سبال"
"sabab","سبب"
"sabt","سبت"
"sabzi","سبزي"
"sibt-asbaat","سبط-اسباط"
"sabaq","سبق"
"sabeel","سبيل"
"sipaahi","سپاهي"
"supurd kerwu","سپرد كروؤ"
"sapnu","سپنو"
"sipah saalaar","سپه سالار"
"sitaara","ستارا"
"sataawu","ستاوؤ"
"satar","ستر"
"sitam","ستم"
"sajaawu","سجاوؤ"
"sajda-sajadaat, sujood","سجدة-سجدات،سجود"
"sijil","سجل"
"sijin","سجن"
"sijjeen","سجين"
"sach","سچ"
"sihori","سحوري"
"sakhaafat","سخافة"
"sakhaawat","سخاوة"
"sakhti","سختي"
"sakhi","سخي"
"sach chaawu","سچّاوؤ"
"sach chaai","سچائي"
"sada","سدا"
"sud","سدهـ"
"sidhaara","سدهارا"
"sudhaarwu","سدهاروؤ"
"sir","سر"
"saraapaa","سراپا"
"saraser","سراسر"
"saraaweel","سراويل"
"sardaar","سردار"
"sardi","سردي"
"sarsaai","سرسائي"
"sar sabz","سرسبز"
"sur'at","سرعة"
"serfaraaz","سرفراز"
"sarkha","سركها"
"sarko","سركو"
"sarmadi","سرمدي"
"surma","سرمه"
"sirhaane","سرهانے"
"sarwaalah","سرواله"
"service","سروس"
"sarelu","سريلو"
"saza","سزا"
"sust","سـست"
"susti","سـستي"
"sasraa","سـسرا"
"sateh","سطح"
"satar-sutoor","سطر-سطور"
"sa'aadat","سعادة"
"sa'at","سعة"
"sa'ye","سعي"
"saeer","سعير"
"sifaarish","سفارش"
"safar","سفر-اسفار"
"safra, safro","سفرة"
"safarjal","سفرجل"
"safaid","سفيد"
"safina","سفينة"
"sukkaan","سكّان"
"sikka-sekak","سكّه-سكـك"
"sikat","سكت"
"sukur","سكر"
"suknaa","سكنىْ"
"sikhaaman","سكهامن"
"sukoot","سكوت"
"sikkeen","سكين"
"sakinat","سكينة"
"sigaarait","سگاريت"
"sagla","سگلا"
"sal","سل"
"silaah","سلاح"
"sulaalat","سلالة"
"salaam","سلام"
"salaamat howu","سلامة هوؤ"
"salaamti","سلامتي"
"salhafat","سلحفة"
"silsila, silsilo","سلسلة"
"sultaan-salaateen","سلطان-سلاطين"
"saltanat","سلطنة"
"salaf","سلف"
"silgaawu","سلگاوؤ"
"sulook","سلوك"
"simaat","سماط"
"samaawu","سماوؤ"
"samaawi","سماوي"
"simat-simaat","سمة-سمات"
"samajh","سمجهـ"
"samajhdaar","سمجهدار"
"sumran","سمرن"
"sa'an wa taa-atan","سمعاً و طاعةً"
"sambhaalo","سنبـهالوؤ"
"sanat","سنة"
"sunnat-sunan","سنة-سنن"
"sanad","سند"
"sansthaa","سنستها"
"sunehri zamaan","سنهري زمان"
"sang e marmar","سنگ مرمر"
"sanghaat","سنگهات"
"sawaarwu","سنواروؤ"
"sunwu","سنوؤ"
"sanicher","سنيچر"
"saniwaar","سنيوار"
"sahaaraa","سهارا"
"sehlaai","سهلائي"
"sahooliyat","سهولية"
"sehaam","سهام"
"sehel","سهل"
"sehen kerwu","سهن كروؤ"
"sahi lewu","سهي ليوؤ"
"saheli","سهيلي"
"sawaad","سواد"
"sawaarwu","سوار"
"sawaari","سواري"
"suwawar","سواور"
"suwaal","سوأل-اسئلة"
"sooch","سوچ"
"soochwu","سوچوؤ"
"sodo","سودو"
"sur","سور"
"soorat-suwar","سورة-سور"
"sooraj","سورج"
"su kaam","سوں كام"
"sukhawu","سوكهاوؤ"
"sukho","سوكهو"
"sulaawu","سولاوؤ"
"suli","سولي"
"somwaar","سوموار"
"sonpwu","سونپوؤ"
"sungho","سونگهوؤ"
"sonu","سونو"
"suwu","سوؤ"
"siwa","سوىْ"
"sui","سوئي"
"siyaahat","سياحة"
"siyaadat","سيادة"
"saiyaarah-saiyaaraat","سيارة-سيارات"
"siyaasat","سياسة"
"siyaaq","سياق"
"saib","سيب"
"seep","سيپ"
"sayyed","سيد-سادات"
"saidaani-saidaaniyo","سيداني-سيدانيو"
"syedna","سيدنا"
"seedhu","سيدهو"
"sair","سير"
"sair o sairaab","سير و سيراب"
"sairaab","سيراب"
"sirat","سيرة"
"saitarat","سيطرة"
"seekho","سيكهــوؤ"
"sekwu","سيكوؤ"
"simaa","سيما"
"saikro","سينكرو"
"seena","سينه"
"sinazani","سينه زني"
"siwu","سيوؤ"
"saiye'at-saiye'aat","سيئة-سيئات"
"shabaashi","شاباشي"
"shaadi","شاد"
"shaadi","شادي"
"shaair","شاعر-شعراء"
"shaakelat","شاكلة"
"shaamil","شامل"
"shaan","شان"
"shaandaar","شاندار"
"shahaana","شاهانه"
"shaahid","شاهد"
"shaahi","شاهي"
"shaayad","شايد"
"shaae'","شائع"
"shabaab","شباب"
"shitaabi","شتابي"
"shujaa'","شجاع"
"shajarat","شجرة"
"shehmi aankho","شحمي اٰنكهو"
"shakhs","شخص"
"shiddat","شدة"
"shadeed","شديد"
"shar","شر"
"sharaab","شراب"
"sharaabkhori","شراب خوري"
"sharbet","شربة"
"shurbat","شربة"
"sharat","شرط- شروط"
"sharq","شرق"
"shirkat","شركة"
"sharam","شرم"
"sharmaawu","شرماوؤ"
"sharminda","شرمنده"
"shuru","شروع"
"sharwo","شروو"
"sharwa","شروى"
"sharee'at","شريعة"
"shareek","شريك"
"shashdar","ششدر تهاوؤ"
"shehed","شهد"
"shehzada","شهزاده"
"sheaar","شعار"
"sha'baan ul kareem","شعبان الكريم"
"she'er","شعر"
"sha'sha aaniyah","شعشعانية"
"shagab","شغب"
"shugul-ashgaal","شغل-اشغال"
"shaffaaf","شفّاف"
"shifaa","شفاء"
"shafahi","شفهي"
"shafaqat","شفقة"
"shafee'","شفيع"
"shaqaawat","شقاوة"
"shaqi","شقي"
"shak","شك"
"shikaar","شكار"
"shikaari","شكاري"
"shikaayat","شكاية"
"shukur","شكر"
"shukran","شكراً"
"shukriya","شكريه"
"shikasta","شكسته"
"shakal","شكل"
"shikam","شكم"
"shakwa","شكوى"
"shumaar","شمار"
"shumaarag","شمارگ"
"shemaal","شمال"
"shamsh","شمس"
"shama'","شمع"
"shamal","شمل"
"shehsawaar","شه سوار"
"shahaadat","شهادة"
"shehri","شهري"
"sherhriyat","شهرية"
"shehzada","شهزاده"
"shehensha","شهنشاه"
"shohodaa","شهيد-شهداء"
"shawaarib","شوارب"
"shawwal ul mukarram","شوال المكرم"
"shor","شور"
"shouq","شوق"
"shouqeen","شوقين"
"shoher","شوهر"
"shaib","شيب"
"shaikhukhiyat","شيخوخية"
"shaidaai","شيدائي"
"shireen","شيريں"
"shisha","شيشه"
"shishi","شيشي"
"shaitaan","شيطان"
"shi'a","شيعة"
"shain","شين"
"shewa","شيوه"
"saabir","صابر"
"saaboon","صابون"
"saahib","صاحب"
"saaheb ul mo'jezaat","صاحب المعجزات"
"saadir kerwu","صادر كروؤ"
"sadiq-sadeqeen","صادق-صادقين"
"saaf","صاف"
"saaleh-saalehaat","صالح-صالحات"
"saamit","صامت"
"saaim","صائم"
"saber","صبر"
"sibgat","صبغة"
"sohbat","صحبة"
"sehat","صحة"
"sahra","صحراء"
"sehen","صحن"
"sahih","صحيح"
"sahifah","صحيفة"
"sada","صدا"
"sadaarat","صدارة"
"sadar","صدر"
"sudgain","صدغين"
"sadaf","صدف"
"sidq","صدق"
"sadaqa","صدقة"
"sadma","صدمة"
"sadi-sadyo","صدي-صديو"
"siraat","صراط"
"siraat e mustaqeem","صراط مستقيم"
"sarraaf","صراف"
"sarf","صرف"
"sirf","صرف"
"su-ood","صعود"
"sigaar","صغار"
"saf-sufoof","صف-صفوف"
"safaa","صفاء"
"safaai","صفائي"
"sifat","صفة-صفات"
"safar ul muzaffar","صفر  المظفر"
"safaqat","صفقة"
"safwat","صفوة"
"safwat us safw","صفوة الصفو"
"sikak","صكـك"
"salaah","صلاح"
"salaahiyat","صلاحية"
"silat","صلة"
"silat ul imaam","صلة الامام"
"silat ur rehem","صلة الرحم"
"suleh","صلح"
"sald","صلد"
"salawaat","صلوات"
"salaawaat ullahe alaihe","صلوات الله عليه"
"samt","صمت"
"sandook","صندوق"
"san'at","صنعة"
"soorat","صورة"
"soof","صوف"
"sayaam","صوم-صيام"
"saiyeb","صيّب"
"siyaanat","صيانة"
"seega","صيغة"
"zafiyah","ضافية"
"daal-daalleen","ضال-ضالّين"
"zaamin","ضامن"
"daan","ضان"
"zaye","ضائع كروؤ"
"zabt","ضبط"
"zid","ضد"
"ziddi","ضدّي"
"darb ul masal","ضرب المثل"
"darbat","ضربة"
"darse qaate' si perhe","ضرس قاطع"
"zarur","ضرور"
"zaroorat","ضرورة"
"zarurat mand","ضرورة مند"
"zaroori","ضروري"
"zarih mubaarak","ضريح مبارك"
"zuof","ضعف"
"da'eef","ضعيف"
"zamaanat","ضمانة"
"zimn","ضمن"
"zameer","ضمير"
"ziyaa","ضياء"
"ziyaa'","ضياع"
"daif-zuyuf","ضيف-ضيوف"
"deeq","ضيق"
"deeq ul sadr","ضيق الصدر"
"ta'at","طاعة"
"taagoot","طاغوت"
"taaqat","طاقة"
"taaqatwer","طاقة ور"
"taalib-tullaab","طالب-طلاب"
"talabatul ilm","طالب العلم"
"taalebaat","طالبات"
"taahir-taahereen","طاهر-طاهرين"
"taaerat","طائرة"
"taaefat","طائفة"
"tib","طب"
"tabe' kerwu","طبع كروؤ"
"tabaq","طبق"
"tabaqa-tabaqaat","طبقة-طبقات"
"tabeeb","طبيب"
"tabiyat","طبيعة"
"tarah","طرح"
"tarah tarah si","طرح طرح سي"
"tarah tarah na","طرح طرح نا"
"tarz","طرز"
"tirs-turoos","طرس-طروس"
"taraf","طرف"
"tarfat al ain","طرفة العين"
"tareeq-taraaiq","طريق-طرائق"
"tareeqa, tareeqo","طريقة"
"ta'aam","طعام"
"tugyaani","طغياني"
"tufail","طفيل"
"talaaq","طلاق"
"talab","طلب"
"talabat","طلبة"
"tal'at","طلعة"
"tulou","طلوع"
"tamaacho","طمانچه"
"tama'","طمع"
"tumoo'","طموع"
"tahaarat","طهارة"
"tawaaf","طواف"
"tubaa","طوبىْ"
"towr","طور"
"tufaan","طوفان"
"towq","طوق"
"tool","طول"
"tawwalallaho umrahu","طول الله عمره الشريف"
"taweel","طويل"
"tayyeb","طيّب"
"tayyul ard","طي الارض"
"tai kerwu","طي كروؤ"
"teeb","طيب"
"taibah","طيبة"
"tair-tuyoor","طير-طيور"
"taish","طيش"
"teen/teenat","طين/طينة"
"zaalim-zaalemeen/zalamat","ظالم-ظالمين،ظلمة"
"zaahir","ظاهر"
"zafaryaabi","ظفريابي"
"zil","ظل"
"zil le zaleel","ظل ظليل"
"zulm","ظلم"
"zulm o sitam","ظلم و ستم"
"zulmat-zolomaat","ظلمة-ظلمات"
"zan","ظن"
"zohar","ظهر"
"zaher","ظهر"
"zuhoor","ظهور"
"aajiz","عاجز"
"aadat","عادة"
"aadil-aadeleen","عادل-عادلين"
"aarif-aarefeen","عارف-عارفين"
"aashiq","عاشق"
"aashuraa","عاشوراء"
"aasemat","عاصمة"
"aasi","عاصي"
"aafiyat","عافية"
"aaqil","عاقل"
"aakif-aakefeen","عاكف-عاكفين"
"aalim","عالم"
"aalam","عالم"
"aalam ul ibdaa'","عالم الابداع"
"aalam ul amr","عالم الامر"
"aalam ul anwaar","عالم الانوار"
"aalam ul baqaa","عالم البقاء"
"aalam ul tabiaat","عالم الطبيعة"
"aalam ul gaib","عالم الغيب"
"aalam ul quds","عالم القدس"
"aalim e benazeer","عالم بے نظير"
"aalemeen","عالمين"
"aali/aalia","عالي/عالية"
"aam","عام"
"aammat un naas","عامّة الناس"
"aamil-ummaal","عامل-عمّال"
"aanat","عانة"
"aaiq thaawu","عائق تهاوؤ"
"aaiqat-awaaiq","عائقة-عوائق"
"ibaadullah","عباد الله"
"ibaadat ilmiyah","عبادة علمية"
"ibaadat amaliyah","عبادة عملية"
"abd-abeed","عبد-عبيد"
"abde syedna","عبد سيدناط ع"
"ibrat","عبرة"
"ubudiyat","عبودية"
"etaab kerwu","عتاب كروؤ"
"atabaat aaliyah","عتبات عالية"
"itrat","عترة"
"itq","عتق"
"ajaaib","عجائب"
"ajaaib ane garaaib","عجائب انے غرائب"
"ajab","عجب"
"ajab karaawu","عجب كراوؤ"
"ajz","عجز"
"ajam","عجم"
"ajeeb","عجيب"
"adaawat","عداوة"
"uddat","عدة"
"iddat","عدة"
"adad","عدد"
"adal","عدل"
"adam","عدم"
"udmoli","عدملي"
"aduw-aa'daa","عدو-اعداء"
"udwaan","عدوان"
"adeem ul misaal","عديم المثال"
"azaab","عذاب"
"azaab e wabeel","عذاب وبيل"
"azbe zulaal","عذب زلال"
"uzur","عذر"
"uzurdaar bairo","عذردار بئيرو"
"arab","عرب"
"urus","عرس"
"arsh","عرش"
"arsa, arso","عرصة"
"araz","عرض"
"urwat","عروة"
"urwat e wusqa","عروة وثقىْ"
"urooj","عروج"
"arizat","عريضة"
"izzat","عزّة"
"azza wajal","عز و جل"
"azaa","عزاء"
"azaadaar","عزادار"
"azal kerwu","عزل كروؤ"
"azam-azaaim","عزم-عزائم"
"azeez","عزيز"
"usur","عسر"
"isha","عشاء"
"ashara mubaaraka","عشرة مباركة"
"ishq","عشق"
"asr","عصر"
"asr e zahabi","عصر ذهبي"
"ismat","عصمة"
"asaa","عصىْ"
"aseer","عصير"
"udw-aa'daa","عضو-اعضاء"
"ataa","عطاء"
"atar","عطر"
"atash","عطش"
"atshaan","عطشان"
"atf","عطف"
"utoof","عطوف"
"atiyat","عطية"
"ezaam","عظام"
"ehed","عهد"
"azamat","عظمة"
"azeem-ezaam","عظيم-عظام"
"iffat-afaaf","عفّة/عفاف"
"afw","عفو"
"afwan","عفواً"
"iqaab","عقاب"
"aqd","عقد"
"iqd","عقد"
"aqal","عقل"
"aqalmand","عقلمند"
"aqeeda, aqeedo","عقيدة"
"aqeeq","عقيق"
"aqiqa","عقيقة"
"aqilat","عقيلة"
"aqeem","عقيم"
"alam","علَم"
"alaahadah","علْحده"
"allamah","علّامة"
"illat","علّة"
"ilaaj","علاج"
"ilaaqah","علاقة"
"alaamat","علامة"
"ilaawa","علاوه"
"ilm","علم-علوم"
"ilm ul yaqeen","علم اليقين"
"ilm e ladunni-uloom ladunniyah","علم لدني-علوم لدنية"
"alamberdaar","علمبردار"
"alal ikhtesaar","على الاختصار"
"alal imkaan","على الامكان"
"aleel","عليل"
"am","عم"
"imaarat","عمارة"
"amaamat","عمامة"
"amdan","عمداً"
"umdat","عمدة"
"umar","عمر"
"umraan","عمران"
"amal","عمل"
"umood","عمود"
"amyaa","عمياء"
"aenaan","عنان"
"inaayat","عناية"
"inaayat ilaahiyah","عناية الهية"
"anber","عنبر"
"indallah","عند الله"
"unsur-anaasir","عنصر-عناصر"
"anfaqat","عنفقة"
"unuq-aa'naaq","عنق-اعناق"
"anqaa","عنقاء"
"unwaan","عنوان"
"ehdul ehsaan","عهد الاحسان"
"ehdul awliyaa","عهد الاولياء"
"awaam","عوام"
"ooj","عوج"
"uud","عود"
"oud e ahmad","عود احمد"
"aurat","عورة"
"evaz","عوض"
"aun","عون"
"awees","عويص"
"iyadat kerwu","عيادة كروؤ"
"iyaal","عيال"
"aib-uyoob","عيب-عيوب"
"eid","عيد"
"eid gah","عيدگاه"
"eidi","عيدي"
"essawi sanat","عيسوي سنة"
"ain","عين"
"ain ul yaqeen","عين اليقين"
"gaar","غار"
"gaafil","غافل"
"gaalib","غالب"
"gaaleecha, galeecho","غاليچة"
"gaayat","غاية"
"ga'eb","غائب"
"gaaet","غائط"
"gubaar","غبار"
"gad","غد"
"gadaa","غداء"
"gader","غدر"
"gadeer","غدير"
"gizaa","غذاء"
"garraawu","غرّاوؤ"
"garraa","غراء"
"garamat","غرامة"
"garb","غرب"
"gurbat","غربة"
"gurrat","غرة"
"gurratush shehr","غرة الشهر"
"garaz","غرض"
"gurfat-guraf","غرفة-غرف"
"garaq","غرق"
"gurub","غروب"
"guroob","غروب"
"gour","غرور"
"gareeb-gorobaa","غريب-غرباء"
"gazwat","غزوة"
"gusul","غسل"
"gish","غش"
"gashye","غشي"
"gasb kerwu","غصب كروؤ"
"gusun-agsaan","غصن-اغصان"
"gussa, gusso","غصه"
"gazab","غضب"
"gazabnaak thawu","غضبناك تهاوؤ"
"gaflat","غفلة"
"gaflat","غفلة"
"gil","غل"
"gul-aglaal","غل-اغلال"
"gilaaf","غلاف"
"gulaam","غلام"
"gulaami","غلامي"
"galabo","غلبة"
"gilsamat","غلصمة"
"galat","غلط"
"galat fehmi","غلط فهمي"
"galti","غلطي"
"gulu","غلو"
"gam","غم"
"gamaan","غمام"
"gamer","غمر"
"gamzada","غمزده"
"gamgeen","غمگين"
"ginaa","غناء"
"gunnah","غنة"
"gina","غنىْ"
"gani-agniya","غني-اغنياء"
"ganeemat","غنيمة ليوؤ"
"gows-giyaas","غوث/غياث"
"gour","غور"
"gor","غور كروؤ"
"gour o fikr","غور و فكر"
"gaib ni waato","غيب ني واتو"
"gaibat","غيبة"
"geebat","غيبة"
"gais","غيث"
"gair","غير"
"gair baalig","غير بالغ"
"gair hazir","غير حاضر"
"gair mutamakkin","غير متمكن"
"gair mehram","غير محرم"
"gair munfasil","غير منفصل"
"gairat","غيرة"
"gaiz","غيظ"
"fatehat","فاتحة"
"fateha perhwu","فاتحة پرهوؤ"
"faajir-fajarat","فاجر-فجرة"
"faaheshat-fawaahish","فاحشة-فواحش"
"faakhir","فاخر"
"faaris","فارس"
"faarig","فارغ"
"faasid","فاسد"
"faasid thawu","فاسد تهاوؤ"
"faasiq","فاسق"
"faasla","فاصلة"
"fozalaa","فاضل-فضلاء"
"faatir","فاطر"
"faa'il","فاعل"
"faaqa, faaqo","فاقة"
"faakehat-fawaakeh","فاكهة- فواكه"
"faal","فال"
"faani","فاني"
"faida, faido","فائدة-فوائد"
"faaiz-faaezoon","فائز-فائزون"
"faaiz thawu","فائض تهاوؤ"
"faaiq","فائق"
"fot","فت"
"fateh-futuhaat","فتح-فتوحات"
"fatehyaabi","فتح يابي"
"fatrat","فترة"
"fitnat","فتنة"
"fitnat angaiz loog","فتنة انگيز لوگ"
"fitnat amyaa","فتنة عمياء"
"fatwaa","فتوْى"
"fatur","فتور"
"fajr","فجر"
"fujur","فجور"
"fohosh","فحش"
"fahel","فحل"
"fahwaa","فحوْى"
"fakhamat","فخامة"
"fakhar","فخر"
"fidaa","فداء تهاوؤ"
"fidaiyat","فداءية"
"fidyo","فدية"
"fazlakat","فذلكة"
"faraar","فرار"
"faraash","فراش"
"faraag","فراغ"
"firaaq","فراق"
"firaaq thaawu","فراق تهاوؤ"
"firaaqi","فراقي"
"faraj","فرج"
"farhat","فرحة"
"fard","فرد"
"fardaaniyat","فردانية"
"firdoos","فردوس"
"farzand","فرزند"
"fars","فرس"
"fursaan","فرسان"
"farsh","فرش"
"farishta","فرشته-فرشته ؤ"
"fursat","فرصة"
"faraz","فرض"
"fare'-furu'","فرع- فروع"
"faraq","فرق"
"firqah","فرقة"
"furqat","فرقة"
"farmaan","فرمان"
"farmaayu","فرمايو"
"faraib","فريب"
"fareezat","فريضة"
"fareeq","فريق"
"faza'","فزع"
"fasaad","فساد"
"fustaat","فسطاط"
"fisq","فسق"
"fisq o fujur","فسق و فجور"
"fasaahat","فصاحة"
"fasal kerwu","فصل كروؤ"
"faseeh","فصيح"
"fiddat","فضّة"
"fazaa","فضاء"
"fazal","فضل"
"fazal-fazaail","فضل-فضائل"
"fuzlat","فضلة"
"fuzul kharchi","فضول خرچي"
"fadihat","فضيحة"
"fitrat","فطرة"
"fatin","فطن"
"fitnat","فطنة"
"futur","فطور"
"fe-el","فعل"
"faqd thawu","فقد تهاوؤ"
"fuqdaan","فقدان"
"faqar","فقر"
"fiqrah-fiqraao","فقره-فقره ؤ"
"faqat","فقط"
"fiqeh","فقه"
"faqeer","فقير"
"faqih-foqohaa","فقيه-فقهاء"
"fikar","فكر"
"fikar","فكر"
"falaah","فلاح"
"fulaan","فلان"
"falsafat","فلسفة"
"falak","فلك"
"fulk","فلك"
"fun-funoon","فن-فنون"
"fanaa thawu","فناء تهاوؤ"
"fehris ul muhtaweyaat","فهرس المحتويات"
"fehrist","فهرست"
"fehem","فهم"
"fuwaara","فواره"
"fout","فوت تهاوؤ"
"foto-fotaao","فوتو-فوتاؤ"
"fouj","فوج"
"fouran","فوراً"
"fouri tour per","فوري طور پر"
"fouz","فوز"
"fouz e azeem","فوز عظيم"
"fouq","فوق"
"fuwaad","فؤاد"
"fil haal","في الحال"
"fi sabeel illah","في سبيل الله"
"fashan","فيشن"
"faisla, faislo","فيصله"
"faiz-fuyuz/fuyuzaat","فيض-فيوض/فيوضات"
"feel","فيل"
"failasoof","فيلسوف"
"qaaba qousain","قاب قوسين"
"qaabil","قابل"
"qaabelah","قابلة"
"qaabu","قابو"
"qaat","قات"
"qaatil","قاتل"
"qaadir","قادر"
"qaari","قاري"
"qaasid","قاصد"
"qaasir","قاصر"
"qaazi-quzaat","قاضي-قضاة"
"qaazil haajaat","قاضي الحاجات"
"qaazil quzaat","قاضي القضاة"
"qaae'dat-qawaid","قاعدة-قواعد"
"qaafla, qaaflo","قافلة"
"qaafiyah","قافية"
"qaalib","قالب"
"qaamah","قامة"
"qaamat alafiyah","قامة الفية"
"qaanoon-qawaneen","قانون-قوانين"
"qahir thawu","قاهر تهاوؤ"
"quaid","قائد"
"qaail","قائل"
"qaaim","قائم"
"qaaemat","قائمة"
"qubba-qobab/qebaab","قبة-قبب/قباب"
"qabar","قبر"
"qabrastaan","قبرستان"
"qabz kerwu","قبض كروؤ"
"qabzah","قبضة"
"qabtaan","قبطان"
"qabal","قبل"
"qablas suwaal","قبل السؤال"
"qibla","قبلة"
"qibla gah","قبلة گاه"
"qabool kerwu","قبول كروؤ"
"qubuliyat","قبولية"
"qabeeh","قبيح"
"qabilah-qabaail","قبيلة-قبائل"
"qatal","قتل"
"qatal","قتل"
"qehat","قحط"
"qad","قد"
"qadeh","قدح"
"qadr","قدر"
"qudrat","قدرة"
"quds","قدس"
"qaddasallaho ruhahu","قدس الله روحه"
"qudssaani","قدساني"
"qadam","قدم"
"qadambosi","قدمبوسي"
"qudwat","قدوة"
"qadeem","قديم"
"qiraa'at","قراءة"
"qaraabat","قرابة"
"qaraabatdaar","قرابة دار"
"qaraar","قرار"
"quran majeed","قران مجيد"
"qurbaan","قربان كروؤ"
"qurbaani","قرباني"
"qurbaa","قربىْ"
"qurrat","قرة"
"qurrat ul ain","قرة العين"
"qarz","قرض"
"qarzan hasana","قرضاً حسنة"
"qarn","قرن"
"qareeb","قريب"
"qariban","قريباً"
"qareen","قرين"
"qasaawat","قساوة"
"qisam","قسم"
"qasam","قسم"
"qisam","قسم"
"qisam qisam na","قسم قسم نا"
"qismat","قسمة"
"qesaas","قصاص"
"qasaai","قصائي"
"qissah-qisas","قصة-قصـص"
"qasd","قصد"
"qasd kerrwu","قصد كروؤ"
"qasr","قصر"
"qaser","قصر"
"qusoor","قصور"
"qaseeda","قصيدة-قصائد"
"qazaa","قضاء"
"qazaa qadr","قضاء قدر"
"qaziyah","قضية"
"quttaut tareeq","قطاع الطريق"
"qutub","قطب"
"qatro, qatra","قطرة-قطرات"
"qate' kerwu","قطع كروؤ"
"qati'at","قطيعة"
"qu'ood","قعود"
"qafaa","قفا"
"qafal","قفل"
"qilaadah","قلادة"
"qalb-qulub","قلب-قلوب"
"qalb ul aa'yaan","قلب الاعيان كروؤ"
"qillat","قلة"
"qilah-qilaao","قلعة-قلعةؤ"
"qalam","قلم"
"qalam","قلم"
"qulu","قلو"
"qamar","قمر"
"qamees","قميص"
"qahhaar","قهّار"
"qeher","قهر"
"qewaam","قوام"
"quwat","قوة"
"quwwat","قوة"
"quwat","قوت"
"qoul-aqwaal","قول-اقوال"
"qom","قوم"
"qaumiyat","قومية"
"qawi","قوي"
"qiyaadat","قيادة"
"qiyaas","قياس"
"qiyaam","قيام"
"qiyamat","قيامة"
"qaid-quyud","قيد-قيود"
"qaid khaana","قيدخانه"
"qaidi","قيدي"
"qeel qaal","قيل قال"
"qiyam","قيم"
"qeemat","قيمة"
"qeemah","قيمه"
"qai","قئي"
"kaapo","كاپوؤ"
"kaatib","كاتب"
"kaajbo","كاجبو"
"kaajal","كاجل"
"kaazib","كاذب"
"kaarkhaana","كارخانه"
"kaarobaar","كاروبار"
"kaarigar","كاريگر"
"kaarigari","كاريگري"
"kaas","كاس"
"kaasib","كاسب"
"kaash ke","كاش كه"
"kaashif","كاشف"
"kaat","كاضض"
"kaagaz","كاغذ"
"kaafir-kuffaar, kafarat","كافر-كفار، كفرة"
"kaafur","كافور"
"kaafi","كافي"
"kaakaji","كاكا جي"
"kaakiji","كاكي جي"
"kaal","كال"
"kaala waala kerwu","كالا والا كروؤ"
"kaalej","كالج"
"kaalak","كالك"
"kaalu","كالو"
"kaam","كام"
"kaamil","كامل"
"kaamyaab","كامياب"
"kaamyabi","كاميابي"
"kaan","كان"
"kaanthe","كانتهے"
"kaanto-kaantaao","كانتو-كانتاؤ"
"kaantwu","كانتوؤ"
"kaanpwu","كانپوؤ"
"kaanch","كانچ"
"kaandha","كاندها"
"kaaid-kaaedeen","كائد-كائدين"
"kaaenaat","كائنات"
"kebaar","كبار"
"kabaair","كبائر"
"kebar","كبر"
"kabash","كبش"
"kabutar","كبوضضر"
"kabeer","كبير"
"kapra","كپرٌا"
"kapoor","كپور"
"kutta-kuttao","كتّه-كتّاؤ"
"kitaab","كتاب-كتب"
"kitaabat","كتابة"
"katro","كتروؤ"
"kitnaak","كتناك"
"kitneek","كتنيك"
"kathin","كتهن"
"kasrat","كثرة"
"kach-cho","كچّو"
"kachro","كچرٌو"
"kizb","كذب"
"karor","كرٌورٌ"
"kerwi","كرٌوي"
"kari-karyo","كرٌي-كرٌيو"
"karaamat","كرامة"
"karaahiyat","كراهية"
"kiraayu","كرايو"
"karb-kuroob","كرب-كروب"
"karrat khaaserah thayu","كرة خاسرة تهيو"
"kirtaar","كرتار"
"kurto","كرتو"
